Selectivity equals buffer
0.0025 10.59 9.07
0.005 12.37 9.31
0.01 15.9 9.75
0.02 21.28 10.63
0.04 28.14 12.75
0.08 33.66 17.77
0.16 38.44 25.33
0.32 49.96 40.47
0.64 71.5 68.84
